Periode,Tanggal Periode,Kode Item,Nama Item,Satuan Standar,Jumlah Standar,Total Item,Lag_1,Lag_2,Lag_3,Lag_6,Lag_12,Rolling_Mean_3,Rolling_Max_3,Rolling_Min_3,Rolling_Mean_6,Rolling_Mean_12,Tahun,Bulan
2024-01,2024-01-01,CEFXTR200,CEFIXIME 200MG KAPSUL BERNOFARM,BOX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,1
2024-02,2024-02-01,CEFXTR200,CEFIXIME 200MG KAPSUL BERNOFARM,TAB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,2
2024-02,2024-02-01,CEFXTR200,CEFIXIME 200MG KAPSUL BERNOFARM,BOX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,2
2024-03,2024-03-01,CEFXTR200,CEFIXIME 200MG KAPSUL BERNOFARM,TAB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,3
2024-03,2024-03-01,CEFXTR200,CEFIXIME 200MG KAPSUL BERNOFARM,BOX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,3
2024-04,2024-04-01,CEFXTR200,CEFIXIME 200MG KAPSUL BERNOFARM,TAB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,4
2024-04,2024-04-01,CEFXTR200,CEFIXIME 200MG KAPSUL BERNOFARM,BOX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,4
2024-05,2024-05-01,CEFXTR200,CEFIXIME 200MG KAPSUL BERNOFARM,TAB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,5
2024-05,2024-05-01,CEFXTR200,CEFIXIME 200MG KAPSUL BERNOFARM,BOX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,5
2024-06,2024-06-01,CEFXTR200,CEFIXIME 200MG KAPSUL BERNOFARM,TAB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,6
2024-06,2024-06-01,CEFXTR200,CEFIXIME 200MG KAPSUL BERNOFARM,BOX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,6
2024-07,2024-07-01,CEFXTR200,CEFIXIME 200MG KAPSUL BERNOFARM,TAB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,7
2024-07,2024-07-01,CEFXTR200,CEFIXIME 200MG KAPSUL BERNOFARM,BOX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,7
2024-08,2024-08-01,CEFXTR200,CEFIXIME 200MG KAPSUL BERNOFARM,TAB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,8
2024-08,2024-08-01,CEFXTR200,CEFIXIME 200MG KAPSUL BERNOFARM,BOX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,8
2024-09,2024-09-01,CEFXTR200,CEFIXIME 200MG KAPSUL BERNOFARM,TAB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,9
2024-09,2024-09-01,CEFXTR200,CEFIXIME 200MG KAPSUL BERNOFARM,BOX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,9
2024-10,2024-10-01,CEFXTR200,CEFIXIME 200MG KAPSUL BERNOFARM,TAB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,10
2024-10,2024-10-01,CEFXTR200,CEFIXIME 200MG KAPSUL BERNOFARM,BOX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,10
2024-11,2024-11-01,CEFXTR200,CEFIXIME 200MG KAPSUL BERNOFARM,TAB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,11
2024-11,2024-11-01,CEFXTR200,CEFIXIME 200MG KAPSUL BERNOFARM,BOX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,11
2024-12,2024-12-01,CEFXTR200,CEFIXIME 200MG KAPSUL BERNOFARM,TAB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,12
2024-12,2024-12-01,CEFXTR200,CEFIXIME 200MG KAPSUL BERNOFARM,BOX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,12
2025-01,2025-01-01,CEFXTR200,CEFIXIME 200MG KAPSUL BERNOFARM,TAB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,1
2025-01,2025-01-01,CEFXTR200,CEFIXIME 200MG KAPSUL BERNOFARM,BOX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,1
2025-02,2025-02-01,CEFXTR200,CEFIXIME 200MG KAPSUL BERNOFARM,TAB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,2
2025-02,2025-02-01,CEFXTR200,CEFIXIME 200MG KAPSUL BERNOFARM,BOX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,2
2025-03,2025-03-01,CEFXTR200,CEFIXIME 200MG KAPSUL BERNOFARM,TAB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,3
2025-03,2025-03-01,CEFXTR200,CEFIXIME 200MG KAPSUL BERNOFARM,BOX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,3
2025-04,2025-04-01,CEFXTR200,CEFIXIME 200MG KAPSUL BERNOFARM,TAB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,4
2025-04,2025-04-01,CEFXTR200,CEFIXIME 200MG KAPSUL BERNOFARM,BOX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,4
2025-05,2025-05-01,CEFXTR200,CEFIXIME 200MG KAPSUL BERNOFARM,TAB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,5
2025-05,2025-05-01,CEFXTR200,CEFIXIME 200MG KAPSUL BERNOFARM,BOX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,5
2025-06,2025-06-01,CEFXTR200,CEFIXIME 200MG KAPSUL BERNOFARM,TAB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,6
2025-06,2025-06-01,CEFXTR200,CEFIXIME 200MG KAPSUL BERNOFARM,BOX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,6
2025-07,2025-07-01,CEFXTR200,CEFIXIME 200MG KAPSUL BERNOFARM,TAB,1500.0,1946625.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,7
2025-07,2025-07-01,CEFXTR200,CEFIXIME 200MG KAPSUL BERNOFARM,BOX,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,500.0,1500.0,0.0,250.0,125.0,2025,7
2025-08,2025-08-01,CEFXTR200,CEFIXIME 200MG KAPSUL BERNOFARM,TAB,600.0,778650.0,0.0,1500.0,0.0,0.0,0.0,500.0,1500.0,0.0,250.0,125.0,2025,8
2025-08,2025-08-01,CEFXTR200,CEFIXIME 200MG KAPSUL BERNOFARM,BOX,0.0,0.0,600.0,0.0,1500.0,0.0,0.0,700.0,1500.0,0.0,350.0,175.0,2025,8
2025-09,2025-09-01,CEFXTR200,CEFIXIME 200MG KAPSUL BERNOFARM,TAB,0.0,0.0,0.0,600.0,0.0,0.0,0.0,200.0,600.0,0.0,350.0,175.0,2025,9
2025-09,2025-09-01,CEFXTR200,CEFIXIME 200MG KAPSUL BERNOFARM,BOX,100.0,6030000.0,0.0,0.0,600.0,0.0,0.0,200.0,600.0,0.0,350.0,175.0,2025,9
2025-10,2025-10-01,CEFXTR200,CEFIXIME 200MG KAPSUL BERNOFARM,TAB,0.0,0.0,100.0,0.0,0.0,1500.0,0.0,33.333333333333336,100.0,0.0,366.6666666666667,183.33333333333334,2025,10
2025-10,2025-10-01,CEFXTR200,CEFIXIME 200MG KAPSUL BERNOFARM,BOX,0.0,0.0,0.0,100.0,0.0,0.0,0.0,33.333333333333336,100.0,0.0,116.66666666666667,183.33333333333334,2025,10
2025-11,2025-11-01,CEFXTR200,CEFIXIME 200MG KAPSUL BERNOFARM,TAB,0.0,0.0,0.0,0.0,100.0,600.0,0.0,33.333333333333336,100.0,0.0,116.66666666666667,183.33333333333334,2025,11
2025-11,2025-11-01,CEFXTR200,CEFIXIME 200MG KAPSUL BERNOFARM,BOX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.666666666666668,183.33333333333334,2025,11
2025-12,2025-12-01,CEFXTR200,CEFIXIME 200MG KAPSUL BERNOFARM,TAB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.666666666666668,183.33333333333334,2025,12
2025-12,2025-12-01,CEFXTR200,CEFIXIME 200MG KAPSUL BERNOFARM,BOX,1.0,165000.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,16.666666666666668,183.33333333333334,2025,12
2023-04,2023-04-01,CEFZN1-INJ,Cefazolin Inj 1gr,AMPUL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,4
2023-05,2023-05-01,CEFZN1-INJ,Cefazolin Inj 1gr,AMPUL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,5
2023-06,2023-06-01,CEFZN1-INJ,Cefazolin Inj 1gr,AMPUL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,6
2023-07,2023-07-01,CEFZN1-INJ,Cefazolin Inj 1gr,AMPUL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,7
2023-08,2023-08-01,CEFZN1-INJ,Cefazolin Inj 1gr,AMPUL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,8
2023-09,2023-09-01,CEFZN1-INJ,Cefazolin Inj 1gr,AMPUL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,9
2023-10,2023-10-01,CEFZN1-INJ,Cefazolin Inj 1gr,AMPUL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,10
2023-11,2023-11-01,CEFZN1-INJ,Cefazolin Inj 1gr,AMPUL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,11
2023-12,2023-12-01,CEFZN1-INJ,Cefazolin Inj 1gr,AMPUL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,12
2024-01,2024-01-01,CEFZN1-INJ,Cefazolin Inj 1gr,AMPUL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,1
2024-02,2024-02-01,CEFZN1-INJ,Cefazolin Inj 1gr,AMPUL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,2
2024-03,2024-03-01,CEFZN1-INJ,Cefazolin Inj 1gr,AMPUL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,3
2024-04,2024-04-01,CEFZN1-INJ,Cefazolin Inj 1gr,AMPUL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,4
2024-05,2024-05-01,CEFZN1-INJ,Cefazolin Inj 1gr,AMPUL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,5
2024-06,2024-06-01,CEFZN1-INJ,Cefazolin Inj 1gr,AMPUL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,6
2024-07,2024-07-01,CEFZN1-INJ,Cefazolin Inj 1gr,AMPUL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,7
2024-08,2024-08-01,CEFZN1-INJ,Cefazolin Inj 1gr,AMPUL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,8
2024-09,2024-09-01,CEFZN1-INJ,Cefazolin Inj 1gr,AMPUL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,9
2024-10,2024-10-01,CEFZN1-INJ,Cefazolin Inj 1gr,AMPUL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,10
2024-11,2024-11-01,CEFZN1-INJ,Cefazolin Inj 1gr,AMPUL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,11
2024-12,2024-12-01,CEFZN1-INJ,Cefazolin Inj 1gr,AMPUL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,12
2025-01,2025-01-01,CEFZN1-INJ,Cefazolin Inj 1gr,AMPUL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,1
2025-02,2025-02-01,CEFZN1-INJ,Cefazolin Inj 1gr,AMPUL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,2
2025-03,2025-03-01,CEFZN1-INJ,Cefazolin Inj 1gr,AMPUL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,3
2025-04,2025-04-01,CEFZN1-INJ,Cefazolin Inj 1gr,AMPUL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,4
2025-05,2025-05-01,CEFZN1-INJ,Cefazolin Inj 1gr,AMPUL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,5
2025-06,2025-06-01,CEFZN1-INJ,Cefazolin Inj 1gr,AMPUL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,6
2025-07,2025-07-01,CEFZN1-INJ,Cefazolin Inj 1gr,AMPUL,20.0,239200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,7
2025-08,2025-08-01,CEFZN1-INJ,Cefazolin Inj 1gr,AMPUL,0.0,0.0,20.0,0.0,0.0,0.0,0.0,6.666666666666667,20.0,0.0,3.3333333333333335,1.6666666666666667,2025,8
2025-09,2025-09-01,CEFZN1-INJ,Cefazolin Inj 1gr,AMPUL,0.0,0.0,0.0,20.0,0.0,0.0,0.0,6.666666666666667,20.0,0.0,3.3333333333333335,1.6666666666666667,2025,9
2025-10,2025-10-01,CEFZN1-INJ,Cefazolin Inj 1gr,AMPUL,0.0,0.0,0.0,0.0,20.0,0.0,0.0,6.666666666666667,20.0,0.0,3.3333333333333335,1.6666666666666667,2025,10
2025-11,2025-11-01,CEFZN1-INJ,Cefazolin Inj 1gr,AMPUL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3333333333333335,1.6666666666666667,2025,11
2025-12,2025-12-01,CEFZN1-INJ,Cefazolin Inj 1gr,AMPUL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3333333333333335,1.6666666666666667,2025,12
2023-04,2023-04-01,CERV,CERNEVIT,AMPUL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,4
2023-05,2023-05-01,CERV,CERNEVIT,AMPUL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,5
2023-06,2023-06-01,CERV,CERNEVIT,AMPUL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,6
2023-07,2023-07-01,CERV,CERNEVIT,AMPUL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,7
2023-08,2023-08-01,CERV,CERNEVIT,AMPUL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,8
2023-09,2023-09-01,CERV,CERNEVIT,AMPUL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,9
2023-10,2023-10-01,CERV,CERNEVIT,AMPUL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,10
2023-11,2023-11-01,CERV,CERNEVIT,AMPUL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,11
2023-12,2023-12-01,CERV,CERNEVIT,AMPUL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,12
2024-01,2024-01-01,CERV,CERNEVIT,AMPUL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,1
2024-02,2024-02-01,CERV,CERNEVIT,AMPUL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,2
2024-03,2024-03-01,CERV,CERNEVIT,AMPUL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,3
2024-04,2024-04-01,CERV,CERNEVIT,AMPUL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,4
2024-05,2024-05-01,CERV,CERNEVIT,AMPUL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,5
2024-06,2024-06-01,CERV,CERNEVIT,AMPUL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,6
2024-07,2024-07-01,CERV,CERNEVIT,AMPUL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,7
2024-08,2024-08-01,CERV,CERNEVIT,AMPUL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,8
2024-09,2024-09-01,CERV,CERNEVIT,AMPUL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,9
2024-10,2024-10-01,CERV,CERNEVIT,AMPUL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,10
2024-11,2024-11-01,CERV,CERNEVIT,AMPUL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,11
2024-12,2024-12-01,CERV,CERNEVIT,AMPUL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,12
2025-01,2025-01-01,CERV,CERNEVIT,AMPUL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,1
2025-02,2025-02-01,CERV,CERNEVIT,AMPUL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,2
2025-03,2025-03-01,CERV,CERNEVIT,AMPUL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,3
2025-04,2025-04-01,CERV,CERNEVIT,AMPUL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,4
2025-05,2025-05-01,CERV,CERNEVIT,AMPUL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,5
2025-06,2025-06-01,CERV,CERNEVIT,AMPUL,10.0,2657657.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,6
2025-07,2025-07-01,CERV,CERNEVIT,AMPUL,0.0,0.0,10.0,0.0,0.0,0.0,0.0,3.3333333333333335,10.0,0.0,1.6666666666666667,0.8333333333333334,2025,7
2025-08,2025-08-01,CERV,CERNEVIT,AMPUL,0.0,0.0,0.0,10.0,0.0,0.0,0.0,3.3333333333333335,10.0,0.0,1.6666666666666667,0.8333333333333334,2025,8
2025-09,2025-09-01,CERV,CERNEVIT,AMPUL,0.0,0.0,0.0,0.0,10.0,0.0,0.0,3.3333333333333335,10.0,0.0,1.6666666666666667,0.8333333333333334,2025,9
2025-10,2025-10-01,CERV,CERNEVIT,AMPUL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,0.8333333333333334,2025,10
2025-11,2025-11-01,CERV,CERNEVIT,AMPUL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,0.8333333333333334,2025,11
2025-12,2025-12-01,CERV,CERNEVIT,AMPUL,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.6666666666666667,0.8333333333333334,2025,12
2023-02,2023-02-01,CETI,Tab-E Cetirizine Tab Errita,BOX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,2
2023-03,2023-03-01,CETI,Tab Cetirizine Tab,BOX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,3
2023-03,2023-03-01,CETI,Tab-E Cetirizine Tab Errita,BOX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,3
2023-04,2023-04-01,CETI,Tab Cetirizine Tab,BOX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,4
2023-04,2023-04-01,CETI,Tab-E Cetirizine Tab Errita,BOX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,4
2023-05,2023-05-01,CETI,Tab Cetirizine Tab,BOX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,5
2023-05,2023-05-01,CETI,Tab-E Cetirizine Tab Errita,BOX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,5
2023-06,2023-06-01,CETI,Tab Cetirizine Tab,BOX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,6
2023-06,2023-06-01,CETI,Tab-E Cetirizine Tab Errita,BOX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,6
2023-07,2023-07-01,CETI,Tab Cetirizine Tab,BOX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,7
2023-07,2023-07-01,CETI,Tab-E Cetirizine Tab Errita,BOX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,7
2023-08,2023-08-01,CETI,Tab Cetirizine Tab,BOX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,8
2023-08,2023-08-01,CETI,Tab-E Cetirizine Tab Errita,BOX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,8
2023-09,2023-09-01,CETI,Tab Cetirizine Tab,BOX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,9
2023-09,2023-09-01,CETI,Tab-E Cetirizine Tab Errita,BOX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,9
2023-10,2023-10-01,CETI,Tab Cetirizine Tab,BOX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,10
2023-10,2023-10-01,CETI,Tab-E Cetirizine Tab Errita,BOX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,10
2023-11,2023-11-01,CETI,Tab Cetirizine Tab,BOX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,11
2023-11,2023-11-01,CETI,Tab-E Cetirizine Tab Errita,BOX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,11
2023-12,2023-12-01,CETI,Tab Cetirizine Tab,BOX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,12
2023-12,2023-12-01,CETI,Tab-E Cetirizine Tab Errita,BOX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,12
2024-01,2024-01-01,CETI,Tab Cetirizine Tab,BOX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,1
2024-01,2024-01-01,CETI,Tab-E Cetirizine Tab Errita,BOX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,1
2024-02,2024-02-01,CETI,Tab Cetirizine Tab,BOX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,2
2024-02,2024-02-01,CETI,Tab-E Cetirizine Tab Errita,BOX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,2
2024-03,2024-03-01,CETI,Tab Cetirizine Tab,BOX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,3
2024-03,2024-03-01,CETI,Tab-E Cetirizine Tab Errita,BOX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,3
2024-04,2024-04-01,CETI,Tab Cetirizine Tab,BOX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,4
2024-04,2024-04-01,CETI,Tab-E Cetirizine Tab Errita,BOX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,4
2024-05,2024-05-01,CETI,Tab Cetirizine Tab,BOX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,5
2024-05,2024-05-01,CETI,Tab-E Cetirizine Tab Errita,BOX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,5
2024-06,2024-06-01,CETI,Tab Cetirizine Tab,BOX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,6
2024-06,2024-06-01,CETI,Tab-E Cetirizine Tab Errita,BOX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,6
